CompanyID,KnownJobs
1,|2399328|2399320|2399174|2398270|2401897|2401874|2402467|2402638|2402663|2403856|2403848|2403853|2403850|2403849|2403851|2403855|2403854|2404027|2405125|2405263|2405294|2418366|2418349|2418195|2418189|2416989|2416994|2416990|2416993|2418837|2417902|2415489|2416991|2416181|2419014|2419116|2419332|2419803|2419809|2419959|2420001|2420791|2421000|2421016|2421045|2421102|2422993|2422349|2422689|2421860|2422688|2421843|2422063|2422060|2422061|2422062|2421560|2421891|2421890|2422497|2424148|2424105|2424950|2427436|2427530|2427871|2428778|2428922|2429521|2429520|2429925|2431181|2430007|2431967|2430889|2430884|2430016|2431381|2429704|2431133|2428318|2427709|2428745|2432107|2428951
2,
3,|82744745756893894|96078488907195078|131818961550353094|91887495253238470|104613923585434310|124890457747399366|82842453041652422|128017537536271046|89767636834886342|114141443632571078|93565366640222918|114688977874625222|77889749085233862|114512288288776902|92944142570529478|117470059929969350|119991003332387526|102369092356186822|118628711244145350|111977312154460870|109552609976558278|142170876410766022|121278467560874694|105386839457571526|111090043986027206|119782241615127238|103015880071226054|101427762763309766|120891864669659846|112945121294459590|137865349400797894|125697902472241862|104383564625126086|141544837816951494|98717351173595846|95431237872558790|97712749733126854|73541678813586118|98575230705771206|83942741118984902|125002239103115974|89043216512230086|143266230510199494|78516492187902662|95028133180121798|91299139494519494|90789172257661638|95871767836271302|122245993769902790|101460211778101958|128374410663862982|108027740357042886|113886166345753286|109686413659644614|101318193315750598|77857369326789318|125776228666745542|128742045905756870|102301722036052678|110342818326553286|82211401013043910|100029399258014406|80751249571357382|82868221771686598|78385219867943622|121789710084252358|115790968235401926|116603152456655558|119698678731416262|85570580297720518|110356146767700678|84966779836605126|129899392489398982|139119707081843398|116337994597573318|107057615021712070|106417381560984262|112656285414892230|75666240355345094|107546883737428678|103061454791287494|85129171073671878|111036121158165190|142864100238467782
4,|285371835|284967544|290042951|290203948|290187745
5,
6,
7,|200488599|200487608|200489776|200489086|200450586|200490232|200490196|200488431|200481087|200348870|200489608|200490167|200490204|200489904|200490610|200488490|200479520|200483100|200446235|200478063|200481193|200491345|200491427|200452999|200483109|200494406|200494231|200495879|200495908|200480877|200494410|200496612|200480391|200496472|200495626|200495547|200497149|200497186|200497440|200497239|200497242|200497145|200498679|200430411|200458496|200355128|200495448|200499262|200457329|200424920|200345099
8,|1573907|1575496|1578445|1581455|1578438|1573936|1577385|1579864|1582383|1584963|1578069|1583761|1584760|1584545|1573454|1572202|1579306|1586928|1586929|1586913|1586907|1579155|1585699|1560041|1586895|1585739|1586981|1574332|1582519|1598666|1594382|1598468|1592824|1594389|1595739|1593983|1592018|1594750|1597838|1596330|1591121|1547744|1599062|1539997|1599083|1599053|1571572|1600196|1577643|1602783|1599708|1602119|1605669|1596448|1599685|1600144|1549811|1602324|1602310|1602323|1602350|1602351|1602348|1606219|1586963|1609308|1602799|1607456|1607779|1599606|1588881|1602340|1610205|1612086|1612194|1610791
9,|6881469002
10,|10000691
11,|JR1968494|JR1968248|JR1968111|JR1968245|JR1966584|JR1968006|JR1968263|JR1968302|JR1968230|JR1960480|JR1968121|JR1968214|JR1968088|JR1968240|JR1968092|JR1968120|JR1967968|JR1967967|JR1968002|JR1968118|JR1968590|JR1968591|JR1968315|JR1968599|JR1968453|JR1968314|JR1967528|JR1968588|JR1968318|JR1966013|JR1968564|JR1968578|JR1968594|JR1968597|JR1968716|JR1967912|JR1968469|JR1968570|JR1968685|JR1965906|JR1966630|JR1966839|JR1968601|JR1968730|JR1968732|JR1968511|JR1967989|JR1966910|JR1968370|JR1968836|JR1970081|JR1969502|JR1970004|JR1969994|JR1967456|JR1966205|JR1969016|JR1970540|JR1970342|JR1970782|JR1969901|JR1969911|JR1970838|JR1969248|JR1970745|JR1970314|JR1970201|JR1970989|JR1970983|JR1970764|JR1970846|JR1966857|JR1966578|JR1969318|JR1971193|JR1971189|JR1970672|JR1968304|JR1965612|JR1969229|JR1971096
12,
13,|JR202999|JR204690|JR175570|JR204825|JR204609|JR202578|JR205277|JR201581|JR177466|JR205805|JR176390|JR205341|JR205336|JR206008|JR205516|JR206223|JR205469|JR205701|JR202337|JR205696|JR205990|JR205986|JR206367|JR206054|JR206016|JR177018|JR206420|JR206431|JR209390|JR208901|JR208886|JR210064|JR210056|JR210052|JR210044|JR210041|JR210024|JR210017|JR207918|JR209260|JR208890|JR208116|JR207713|JR208746|JR209734|JR209002|JR209723|JR207751|JR207885|JR209161|JR208418|JR208986|JR210375|JR210374|JR210373|JR210372|JR210370|JR210389|JR210384|JR210382|JR210379|JR208840|JR211027|JR209812|JR208745|JR210982|JR210974|JR210969|JR210681|JR210678|JR210657|JR210631|JR210625|JR210623|JR210621|JR209795|JR210636|JR210848|JR211213|JR210031|JR211241|JR211236|JR211216|JR211214|JR211188|JR211180|JR210805|JR210838|JR210830|JR211400|JR211418|JR211412|JR211369|JR210512|JR210900|JR211349|JR211357|JR211548|JR211532|JR211543|JR211562|JR211568|JR210446|JR212040|JR212039|JR212038|JR212037|JR212034|JR212041|JR212036|JR212059|JR212042|JR212049|JR212048|JR212047|JR210400|JR212043|JR209814|JR212068|JR212063|JR212099|JR212121|JR212356|JR212364|JR212355|JR212358|JR206836|JR212078|JR212576|JR212603|JR212615|JR212613|JR212612|JR212607|JR212599|JR212584|JR212632|JR210489|JR211730|JR208848|JR208849|JR212932|JR213253|JR211710|JR212879|JR212866|JR212865|JR212863
14,
15,
16,|R138060|R138059|R137940|R137998|R137912|R138140|R138101|R137964|R137965|R137762|R138058|R138245|R138246|R136704|R137733|R138123|R138044|R138247|R138396|R138501|R138413|R137304|R137452|R136619|R137595|R138777|R138776|R137642|R138802|R138805|R138813|R138081|R138220|R138667|R138685|R138395|R138749|R138748|R138684|R139033|R137936|R138780|R138804|R138886|R138528
17,|2023-42351|2023-42353|2023-42550|2023-42352|2023-42085|2023-42129|2023-39746|2023-39745|2023-39847|2022-37623|2023-41304|2023-43212|2023-39854|2023-43409|2023-42583|2023-43408|2023-42067
18,
19,|R2306926|R2306968|R2306990|R2306967|R2306964
20,
21,
22,|22f0618e-a09c-4a67-a741-6caf2506c3e1|9b5e3417-474c-4186-88e3-5b0d02b29021|69643df4-e90c-4dd7-9762-f2f7a2139025
23,
24,
25,|32820|33904|33182|33181
26,
27,
28,
29,
30,|JR-114641|JR-114668
31,
32,|55631|57646|54552|52044|51463|50953|44375|58075|57408|57855|51492|58447|58207|58022|52618|56804|55520|42517|54958
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,|R28817|R27632|R27915|R27841|R27075|R28874|R27814
68,|210444854|210443350|210442991|210444120|210439794|210439799|210443636|210444520|210443871|210444079|210432969|210444047|210440626|210443551|210432486|210442412|210443566|210435192|210445018|210419409|210443798|210440566|210439344|210423072|210445000|210443095|210444376|210440440|210427225|210396211|210428112|210430062|210444954|210442037|210443116|210439219|210444469|210437652|210443178|210443878|210433231|210438415|210442698|210442963|210443174|210425801|210443080|210444805|210394038|210442675|210437665|210440512|210398110|210420241|210414832|210396588|210443598|210433873|210435820|210405603|210444419|210439051|210400994|210442355|210437407|210385856|210399880|210422808|210443466|210424910|210443318|210443388|210437984|210424129|210442429|210440809|210432961|210437593|210439353|210437177|210437663|210404537|210439471|210404047|210441030|210443361|210441017|210439050|210437655|210442762|210444021|210443320|210443323|210439197|210439238|210439265|210435170|210440934|210437558|210439421|210439052|210430856|210435805|210395694|210443579|210445641|210435182|210433297|210442686|210409218|210408218|210426720|210395786|210445348|210430301|210415126|210441949|210395735|210401052|210424948|210426182|210445603|210445302|210439651|210445845|210445277|210443979|210444880|210444871|210438034|210445684|210433677|210445990|210445733|210444071|210445826|210444659|210444401|210396526|210413814|210446589|210446324|210419337|210446058|210435365|210402074|210444516|210445398|210446115|210447099|210446553|210446933|210433875|210437924|210417071|210362698|210443076|210444445|210443094|210444517|210447788|210446319|210412785|210444486|210437476|210429731|210415675|210436238|210447571|210421533|210448713|210446496|210446198|210413529|210448693|210426738|210447781|210445728|210433803|210438129|210437126|210447821|210426036|210438845|210428592|210428596|210386560|210446315|210439801|210440025|210447983|210446149|210443219|210447899|210447914|210443222|210442996|210437166|210447570|210436655|210416289|210411919|210446866|210446490|210447017|210412173|210413259|210437048|210444268|210412113|210447502|210422090|210437513|210438421|210445194|210444928|210442760|210444463|210444514|210447100|210447014|210446758|210405750|210446751|210446903|210445317|210446458|210442161|210439907|210446178|210445272|210416389|210407293
69,|R-165222|R-174129|R-175744|R-169619|R-178337
70,
71,|4275941002|4275927002|6558007002|4748685002|6785677002|4279246002|6297339002|6184529002|6254435002|6485460002|4432196002|6297380002|5108180002|4275921002|5002846002|6654941002|6834646002|6603079002|4274288002|4276263002|4276720002|6837502002|6302325002|4794171002|6837725002|6524216002|6855956002|6855947002|6855874002|6835594002|6834728002|6838982002|6850721002|6903734002|6905979002
72,|10049035|10058370|10059338|10051820|10043413|7112266920220515|10044628|10055910|10057585|10055693
73,|23014227|23014216|23014214|22091917|23009157|23014598|23014616|23014615|23010616|23014954|23015012|23014675|23014988|23015002|23015149|23015217|23009551
74,|REQ - 02448
75,|R021419|R021480
76,|23WD71318|23WD71822|23WD71706|23WD71903
77,|10011621
78,
79,
80,|R173256|R173254|R173247|R172854|R171989|R172909|R173002|R173228|R173225|R172681|R172644|R173194|R173196|R173187|R171644|R171781|R170525|R172915|R171680|R173105|R173067|R170973|R165154|R173060|R173049|R173043|R168755|R173038|R173029|R172865|R173019|R172980|R172988|R173252|R172411|R172052|R172638|R172428|R173341|R173317|R173318|R173309|R173308|R173316|R173315|R173314|R173303|R164653|R173328|R173352|R173324|R173344|R172802|R172807|R173409|R173408|R173412|R173413|R172026|R172188|R172507|R169763|R173434|R173446|R173448|R173449|R171876|R167053|R173469|R173509|R173518|R173543|R173544|R173553|R173552|R173570|R173586|R173584|R173589|R171597|R173592|R173601|R173605|R173610|R173617|R173571|R173627|R173637|R165972|R173644|R173690|R173769|R173749|R173645|R173658|R173733|R173739|R173734|R173724|R173741|R167539|R173782|R169314|R173819
81,|R-261001|R-264871|R-280652|R-290714|R-278105|R-246718|R-278384|R-260439|R-288585|R-298229|R-297071|R-289962|R-289966|R-283081|R-290263|R-298604|R-295277|R-277039|R-280536|R-288845|R-291805|R-260162|R-243788|R-276818
82,|23674928|23684373|23676008|23686116
83,|114398|114378|114387|114385|114381|113729|115075|114366|114156|114428|114411|114441|114434|114430|114437|114482|114478|114481|114485|115580|115619|115625|114585|114538|115231|115236|114693|114685|114694|114691|114692
84,|Req1193871
85,
86,|R-722615|R-735279|R-736412
87,|17483152|17277424|16789894|17270115|17632101
88,
89,|R0276894|R0263951|R0283644|R0295253|R0247378
90,|
91,||345028
92,|eaeb2bda-02a4-4e9f-b357-957d3b6da7d7
93,
